ITEM,concatenation_description,synapse_quantity_allocable,e1_quantity,STATUS,e1_quantity_hard_commit,e1_quantity_soft_commit,synapse_quantity,synapse_quantity_tasked
00.6115.411.090,X0 CRANKSET PF30 10SP 38/24 17 - 5MM - 00.6115.411.090,1,1,,1,0,1,0
00.6115.496.030,X7 S1000 CRANKSET GXP 10SP 38/ - 24 170MM - 00.6115.496.030,1,1,,1,0,1,0
00.6118.093.024,X1 CRANKSET GXP 32T 170MM - 00 - .6118.093.024,2,2,,2,0,2,0
00.6118.175.002,RIVAL 22 CRANKSET PF30 46/36 1 - 70MM - 00.6118.175.002,1,1,,1,0,1,0
00.6118.194.024,SRAM - FC S1000 30MM 170 BLK X - SYNC 32,1,1,,1,0,1,0
00.6118.280.009,SRAM - FC X01 24MM 175 BLK DM - XSYNC 32,1,1,,1,0,1,0
00.7018.027.010,X7 SHIFTER LEFT 2SP - 00.7018. - 027.010,60,60,,30,0,60,0
00.7018.033.010,X0 SHIFTER FRONT 2SP - 00.7018 - .033.010,5,5,,0,0,5,
00.7615.124.010,X9 Front Derailleur Low Direct - Mount 2x10sp S3 Bottom Pull 3,26,26,,26,0,26,
00.7615.150.010,X5 FRONT DERAILLEUR HIGH CLAMP - 31.8 DUAL PULL,3,3,,3,0,3,0
00.7615.163.000,X0 Front Derailleur Low Direct - Mount - Top Pull - S3,8,8,,0,0,8,
00.7615.166.000,"X0 FRONT DERAILLEUR HDM, DP - - 00.7615.166.000",8,8,,8,0,8,
00.7615.167.000,X0 FRONT DERAILLEUR HIGH CLAMP - 2X10SP 31.8 DUAL PULL 38/36T,1,1,,8,0,1,0
00.7618.020.010,X5 FRONT DERAILLEUR HIGH DIREC - T MOUNT - DUAL PULL,3,3,,3,0,3,0
00-001-20-47-25,RLT 9 Frameset-47-FORGE GREY/S - KYE BLUE,45,49,,8,40,45,
00-001-20-50-25,RLT 9 Frameset-50-FORGE GREY/S - KYE BLUE,75,87,,17,70,75,
00-001-20-53-25,RLT 9 Frameset-53-FORGE GREY/S - KYE BLUE,134,137,,14,125,134,
00-001-20-56-25,RLT 9 Frameset-56-FORGE GREY/S - KYE BLUE,150,153,,7,146,151,
00-001-20-59-25,RLT 9 Frameset-59-FORGE GREY/S - KYE BLUE,164,164,,18,60,164,
00-001-20-62-25,RLT 9 Frameset-62-FORGE GREY/S - KYE BLUE,90,90,,6,10,90,
00-001-21-47-80,RLT 9 Frameset-47-AZURE BLUE/B - RONZE,4,5,,1,43,4,
