Order Date,Sold To Number,Sold To,Order Number,Line Number,Stocking Type - STKT,2nd Item Number,Concatenation Description ,Quantity Shipped,Extended Price,Hold Orders Code - HOLD
7/27/2020,128702,BIKE BLING,104940,5.000,K,00-104-22-59-20,RLT STEEL 4-STAR MY22 - 59CM - - BLACK/BRONZE,1,"2,279.43",C1
7/29/2020,128702,BIKE BLING,104997,3.000,K,00-105-22-59-20,RLT STEEL 5-STAR MY22 - 59CM - - BLACK/BRONZE,1,"2,914.45",C1
8/10/2020,128565,JAMES BROS BIKES,105228,2.000,K,04-649-22-04-70,JET RDO 4-STAR MY22 - MD - EME - RALD GREEN,1,"4,079.40",C1
9/9/2020,128870,LUIS A IBARRA II DBA POWAY BICYCLE,372621,3.000,K,04-989-22-05-10,RIP RDO 5-STAR X01 FLOAT X2 LT - D MY22 - LG - SILVER/BAJA BLUE,1,"4,949.45",C1
9/24/2020,128618,OUTDOOR GEAR EXCHANGE,106335,8.000,K,00-103-22-59-20,RLT STEEL 3-STAR MY22 - 59CM - - BLACK/BRONZE,1,"2,107.38",C1
10/5/2020,128492,MACRIS BILL,106595,5.000,K,03-739-22-03-20,AIR RDO 3-STAR MY22 - SM - SAT - IN CARBON/SILVER,1,"2,174.50",
10/14/2020,129204,MOOSEJAW MOUNTAINE WAREHOUSE,106804,14.000,K,03-729-22-06-20,AIR RDO 2-STAR MY22 - XL - SAT - IN CARBON/SILVER,1,"1,649.45",
10/14/2020,129204,MOOSEJAW MOUNTAINE WAREHOUSE,106804,20.000,K,00-802-22-56-15,RLT RDO 2-STAR MY22 - 56CM - - AVALANCHE GREY/SLATE,1,"1,880.43",
10/14/2020,129204,MOOSEJAW MOUNTAINE WAREHOUSE,106804,16.000,K,04-629-22-04-70,JET RDO 2-STAR MY22 - MD - EME - RALD GREEN,1,"2,529.45",
10/14/2020,129204,MOOSEJAW MOUNTAINE WAREHOUSE,106804,17.000,K,04-629-22-05-70,JET RDO 2-STAR MY22 - LG - EME - RALD GREEN,1,"2,529.45",
10/16/2020,128608,D'ANIELLO'S AMITY BICYCLES LLC,106862,6.000,K,00-163-21-56-25,RLT STEEL 3-STAR MY21 - 56cm - - FORGE GREY/BAJA BLUE - 650b,1,"1,946.80",
10/16/2020,128601,AMAIN.COM INC.,106874,2.000,K,00-063-21-56-25,RLT 3-STAR MY21 - 56cm - FORGE - GREY/SKYE BLUE - 650b,1,"1,510.50",
10/16/2020,128601,AMAIN.COM INC.,106875,2.000,K,00-063-21-56-25,RLT 3-STAR MY21 - 56cm - FORGE - GREY/SKYE BLUE - 650b,1,"1,510.50",
10/16/2020,128608,D'ANIELLO'S AMITY BICYCLES LLC,106862,24.000,K,00-102-22-53-20,RLT STEEL 2-STAR MY22 - 53CM - - BLACK/BRONZE,1,"1,921.38",
10/16/2020,128608,D'ANIELLO'S AMITY BICYCLES LLC,106862,25.000,K,00-102-22-56-20,RLT STEEL 2-STAR MY22 - 56CM - - BLACK/BRONZE,1,"1,921.38",
10/16/2020,128608,D'ANIELLO'S AMITY BICYCLES LLC,106862,26.000,K,00-102-22-59-20,RLT STEEL 2-STAR MY22 - 59CM - - BLACK/BRONZE,1,"1,921.38",
10/28/2020,129436,PURO MTB - COSTA RICA,107107,1.000,K,02-602-20-04-22,JET 9 RDO - FOX PERFORMANCE - - MY20-Md-Licorice,1,"1,560.00",
10/28/2020,128702,BIKE BLING,107123,3.000,K,03-531-22-05-10,AIR 3-STAR SS LTD MY22 - LG - - SILVER/BAJA BLUE,1,"1,264.45",C1
11/4/2020,128665,CAMBRIA BICYCLE OUTFITTER,107286,6.000,K,02-809-21-04-10,RIP 9 RDO - FOX FACTORY - 29 - - MD - SILVER/BAJA BLUE,1,"1,760.00",
11/4/2020,128665,CAMBRIA BICYCLE OUTFITTER,107286,8.000,K,02-601-21-05-70,JET 9 RDO V3 - FOX FLOAT X FAC - TORY - LG - EMERALD GREEN,1,"1,732.50",
11/4/2020,128665,CAMBRIA BICYCLE OUTFITTER,107286,9.000,K,02-601-21-05-15,JET 9 RDO V3 - FOX FLOAT X FAC - TORY - LG - MAGNETIC GREY,1,"1,732.50",
11/8/2020,129267,"RUNNING SPORTS, INC DBA TRI BIKE RUN",107359,3.000,K,04-729-22-03-15,RKT RDO 2-STAR MY22 - SM - GRE - Y/ORANGE,1,"2,309.45",C1
11/8/2020,129267,"RUNNING SPORTS, INC DBA TRI BIKE RUN",107359,4.000,K,04-729-22-03-15,RKT RDO 2-STAR MY22 - SM - GRE - Y/ORANGE,1,"2,309.45",C1
11/9/2020,129029,BG PARTNERS BILLING,107390,11.000,K,04-629-22-04-15,JET RDO 2-STAR MY22 - MD - MAG - NETIC GREY,1,"2,299.50",C1
11/9/2020,129029,BG PARTNERS BILLING,107390,12.000,K,04-629-22-05-15,JET RDO 2-STAR MY22 - LG - MAG - NETIC GREY,1,"2,299.50",C1
11/11/2020,129085,CODAGEX,107436,14.000,K,02-702-21-03-15,RKT 9 RDO - SM - GREY/ORANGE - - FOX PERFORMANCE,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,15.000,K,02-702-21-03-25,RKT 9 RDO - SM - SATIN CARBON - BLACK/MAGNETIC GREY - FOX PERF,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,16.000,K,02-702-21-04-15,RKT 9 RDO - MD - GREY/ORANGE - - FOX PERFORMANCE,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,17.000,K,02-702-21-04-25,RKT 9 RDO - MD - SATIN CARBON - BLACK/MAGNETIC GREY - FOX PERF,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,18.000,K,02-702-21-05-15,RKT 9 RDO - LG - GREY/ORANGE - - FOX PERFORMANCE,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,19.000,K,02-702-21-05-25,RKT 9 RDO - LG - SATIN CARBON - BLACK/MAGNETIC GREY - FOX PERF,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,20.000,K,02-702-21-06-15,RKT 9 RDO - XL - GREY/ORANGE - - FOX PERFORMANCE,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,21.000,K,02-702-21-06-25,RKT 9 RDO - XL - SATIN CARBON - BLACK/MAGNETIC GREY - FOX PERF,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,30.000,K,05-502-21-70-00,ASSY SPEC - AIR RDO/RKT RDO RS - 2-STAR - 170MM - MY21,2,180.00,
11/11/2020,129085,CODAGEX,107436,31.000,K,05-502-21-70-00,ASSY SPEC - AIR RDO/RKT RDO RS - 2-STAR - 170MM - MY21,1,180.00,
11/11/2020,129085,CODAGEX,107436,32.000,K,05-502-21-75-00,ASSY SPEC - AIR RDO/RKT RDO RS - 2-STAR - 175MM - MY21,4,360.00,
11/11/2020,129085,CODAGEX,107436,33.000,K,05-502-21-75-00,ASSY SPEC - AIR RDO/RKT RDO RS - 2-STAR - 175MM - MY21,5,900.00,
11/19/2020,128965,SONORAN CYCLES BIKE SHOP,107607,12.000,K,00-962-22-53-20,MCR RDO 5-STAR AXS LTD MY22 - - 53 CM - BLACK/MAGNETIC GREY,1,"4,616.43",
11/24/2020,129405,"BAD DOG BIKES, LLC",107719,8.000,K,04-629-22-04-15,JET RDO 2-STAR MY22 - MD - MAG - NETIC GREY,1,"2,989.35",C1
11/24/2020,149056,EVAN GUARR,110115,3.000,K,00-103-22-59-70,RLT STEEL 3-STAR MY22 - 59CM - - EMERALD GREEN,1,"3,399.00",CC
11/27/2020,129085,CODAGEX,108072,1.000,K,05-509-21-75-20,ASSY SPEC - AIR / SIR 2-STAR M - Y21 - 175mm,1,413.22,
11/30/2020,128910,BLACK PUG BICYCLE REPAIR,107839,1.000,K,00-164-21-59-25,RLT STEEL 4-STAR MY21 - 59cm - - FORGE GREY/BAJA BLUE - 650b,1,"2,590.00",
12/4/2020,128640,BILOXI BICYCLE WORKS,108000,17.000,K,00-804-22-56-15,RLT RDO 4-STAR MY22 - 56CM - - AVALANCHE GREY/SLATE,1,"2,450.43",
12/7/2020,128802,WHEEL WERKS,108059,6.000,K,00-103-22-56-20,RLT STEEL 3-STAR MY22 - 56CM - - BLACK/BRONZE,1,"2,243.34",
12/7/2020,128802,WHEEL WERKS,108059,2.000,K,00-063-21-56-25,RLT 3-STAR MY21 - 56cm - FORGE - GREY/SKYE BLUE - 650b,1,"1,749.00",
