Sold To Number,Line Number,Sold To,Order Date,Order Number,2nd Item Number,Stocking Type - STKT,Concatenation Description,Customer PO ,Unit Price,Quantity Shipped,Extended Price,Ship To Number,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postal Code,City ,ST ,Ctry 
128492,5.000,MACRIS BILL,10/05/20,106595,03-739-22-03-20,K,AIR RDO 3-STAR MY22 - SM - SAT - IN CARBON/SILVER,10.5,"2,174.5000",1,"2,174.50",136869,PEDRO TORRES 260,102C NUNOA,,,7790721,SANTIAGO,,CL
128492,5.000,MACRIS BILL,12/08/20,108120,04-730-22-03-15,K,RKT RDO RS 3-STAR MY22 - SM - - GREY/ORANGE,BIKES 12.8,"2,724.5000",1,"2,724.50",136869,PEDRO TORRES 260,102C NUNOA,,,7790721,SANTIAGO,,CL
128492,6.000,MACRIS BILL,12/16/20,108329,03-729-22-03-20,K,AIR RDO 2-STAR MY22 - SM - SAT - IN CARBON/SILVER,12.16,"1,499.5000",1,"1,499.50",136869,PEDRO TORRES 260,102C NUNOA,,,7790721,SANTIAGO,,CL
128492,12.000,MACRIS BILL,01/18/21,109059,03-729-22-04-20,K,AIR RDO 2-STAR MY22 - MD - SAT - IN CARBON/SILVER,1.11.21 12 X 2* BIKES,"1,499.5000",3,"4,498.50",136869,PEDRO TORRES 260,102C NUNOA,,,7790721,SANTIAGO,,CL
128492,13.000,MACRIS BILL,01/18/21,109059,03-729-22-05-20,K,AIR RDO 2-STAR MY22 - LG - SAT - IN CARBON/SILVER,1.11.21 12 X 2* BIKES,"1,499.5000",1,"1,499.50",136869,PEDRO TORRES 260,102C NUNOA,,,7790721,SANTIAGO,,CL
128490,4.000,LEROY'S BIKE WORKS,02/08/21,109599,04-629-22-04-15,K,JET RDO 2-STAR MY22 - MD - MAG - NETIC GREY,JET RDO ORDER 2/8,"2,759.4000",1,"2,759.40",128490,6935 SOUTH CARTER ROAD,,,,33813,LAKELAND,FL,US
128497,3.000,REVOLUTION BIKE SHOP INC,02/12/21,390499,04-989-22-05-20,K,RIP RDO 5-STAR X01 FLOAT X2 LT - D MY22 - LG - SATIN CARBON-29,2/12 Joel,"4,949.4500",1,"4,949.45",136917,2408 MAJANO PL,,,,92009,CARLSBAD,CA,US
128482,1.000,SIERRA CREST CORP. DBA BLUE ZONE SPORTS,03/03/21,110257,03-139-21-04-20,K,SIR 3-STAR MY21 - MD - CEMENT/ - BLACK/COPPER,3-NC3321-SOBURTON,"2,765.0000",1,"2,765.00",128482,2480 PRECISION DRIVE UNIT H,,,,89423,MINDEN,NV,US
128492,8.000,MACRIS BILL,03/08/21,110341,00-002-22-50-25,K,RLT 2-STAR MY22 - 50CM - FORGE - GREY/SKYE BLUE,3.8.21,"1,299.5000",1,"1,299.50",136869,PEDRO TORRES 260,102C NUNOA,,,7790721,SANTIAGO,,CL
128492,11.000,MACRIS BILL,03/08/21,110341,03-739-22-03-20,K,AIR RDO 3-STAR MY22 - SM - SAT - IN CARBON/SILVER,3.8.21,"2,174.5000",2,"4,349.00",136869,PEDRO TORRES 260,102C NUNOA,,,7790721,SANTIAGO,,CL
128477,5.000,SPARTAN BIKES LLC DBA SPARTAN RIDES,03/26/21,110837,04-229-22-05-20,K,WFO RDO 2-STAR MY22 - LG - FAD - E TO BLACK,110837,"3,119.4000",1,"3,119.40",136932,1148 W SPUR AVE,,,,85233,GILBERT,AZ,US
128492,8.000,MACRIS BILL,03/30/21,110936,00-102-22-53-20,K,RLT STEEL 2-STAR MY22 - 53CM - - BLACK/BRONZE,3.25.21,"1,549.5000",1,"1,549.50",136869,PEDRO TORRES 260,102C NUNOA,,,7790721,SANTIAGO,,CL
128492,9.000,MACRIS BILL,03/30/21,110936,00-102-22-56-70,K,RLT STEEL 2-STAR MY22 - 56CM - - EMERALD GREEN,3.25.21,"1,549.5000",1,"1,549.50",136869,PEDRO TORRES 260,102C NUNOA,,,7790721,SANTIAGO,,CL
128492,14.000,MACRIS BILL,03/30/21,110936,00-802-22-53-40,K,RLT RDO 2-STAR MY22 - 53CM - - BLOOD RED,3.25.21,"1,649.5000",1,"1,649.50",136869,PEDRO TORRES 260,102C NUNOA,,,7790721,SANTIAGO,,CL
128492,15.000,MACRIS BILL,03/30/21,110936,00-802-22-53-15,K,RLT RDO 2-STAR MY22 - 53CM - - AVALANCHE GREY/SLATE,3.25.21,"1,649.5000",1,"1,649.50",136869,PEDRO TORRES 260,102C NUNOA,,,7790721,SANTIAGO,,CL
