Sold To Number,Line Number,Sold To,Order Date,Order Number,Branch Plant,2nd Item Number,Concatenation Description,Customer PO ,Unit Price,Quantity Shipped,Extended Price,Ship To Number,Address Line 1,Address Line 2,Next Stat,Status Code - Next,Address Line 3,Address Line 4,Postal Code,City ,ST ,Ctry 
128702,5.000,BIKE BLING,07/27/20,104940,         522,00-104-22-59-20,RLT STEEL 4-STAR MY22 - 59CM - - BLACK/BRONZE,RLT STOCKING ORDER,"2,279.4300",1,"2,279.43",128702,333 EAST GRAND AVE.,,530,Submit for Routing,,,92025,ESCONDIDO,CA,US
128702,3.000,BIKE BLING,07/29/20,104997,         522,00-105-22-59-20,RLT STEEL 5-STAR MY22 - 59CM - - BLACK/BRONZE,104997,"2,914.4500",1,"2,914.45",128702,333 EAST GRAND AVE.,,530,Submit for Routing,,,92025,ESCONDIDO,CA,US
128565,2.000,JAMES BROS BIKES,08/10/20,105228,         522,04-649-22-04-70,JET RDO 4-STAR MY22 - MD - EME - RALD GREEN,105228,"4,079.4000",1,"4,079.40",128565,1199 S DONAHUE DR,SUITE D,530,Submit for Routing,,,36832,AUBURN,AL,US
128702,1.000,BIKE BLING,08/17/20,105405,         522,46-023-19-00-00,3M Down Tube Protector Tape - - RIP 9 RDO V3,105405,20.0000,1,20.00,128702,333 EAST GRAND AVE.,,530,Submit for Routing,,,92025,ESCONDIDO,CA,US
128870,3.000,LUIS A IBARRA II DBA POWAY BICYCLE,09/09/20,372621,         522,04-989-22-05-10,RIP RDO 5-STAR X01 FLOAT X2 LT - D MY22 - LG - SILVER/BAJA BLUE,Eric Dickinson,"4,949.4500",1,"4,949.45",136867,13238 POWAY RD,,530,Submit for Routing,,,92064,POWAY,CA,US
128618,8.000,OUTDOOR GEAR EXCHANGE,09/24/20,106335,         522,00-103-22-59-20,RLT STEEL 3-STAR MY22 - 59CM - - BLACK/BRONZE,$15K CC DEPOSIT REQUIRED,"2,107.3800",1,"2,107.38",128618,37 CHURCH ST,,530,Submit for Routing,,,05401,BURLINGTON,VT,US
128601,1.000,AMAIN.COM INC.,09/28/20,106407,         522,46-023-19-00-00,3M Down Tube Protector Tape - - RIP 9 RDO V3,164413,11.0000,1,11.00,128601,424 OTTERSON DR.,,530,Submit for Routing,,,95928,CHICO,CA,US
128601,2.000,AMAIN.COM INC.,09/28/20,106407,         522,46-035-14-00-20,CHAINSTAY PROTECTOR - JET 9 RD - O V1,164413,5.5000,1,5.50,128601,424 OTTERSON DR.,,530,Submit for Routing,,,95928,CHICO,CA,US
128492,5.000,MACRIS BILL,10/05/20,106595,         522,03-739-22-03-20,AIR RDO 3-STAR MY22 - SM - SAT - IN CARBON/SILVER,10.5,"2,174.5000",1,"2,174.50",136869,PEDRO TORRES 260,102C NUNOA,530,Submit for Routing,,,7790721,SANTIAGO,,CL
129204,14.000,MOOSEJAW MOUNTAINE WAREHOUSE,10/14/20,106804,         522,03-729-22-06-20,AIR RDO 2-STAR MY22 - XL - SAT - IN CARBON/SILVER,S21NNRBK515 SHIP,"1,649.4500",1,"1,649.45",136890,32200 NORTH AVIS DR,STE 100,530,Submit for Routing,,,48071,MADISON HEIGHTS,MI,US
