Year Payment Due Date,Month Description Payment Due Date,Supplier,Order Number,Branch Plant,Order Co,Supplier Number,Or Ty,Line Number,Supplier SO ,2nd Item Number,Concatenation Description ,Order Quantity,Quantity Open,Prev Qty Vouchered,Unit Cost,Extended Cost,Amount Open,Amount Received,Last Stat,Next Stat,Order Date,Promised Delivery Date,Receipt Date,Pymt Terms,Payment Terms,Payment Due Date
2020,July,"WILLING INDUSTRY CO., LTD.",94605,         511,00502,129560,OP,1.000,43881,00-824-20-56-00,RLT e9 RDO 4-STAR MY20 - 56cm - - ELECTRIC MOSS - EU,1,1,0,"2,556.0000","2,556.00","2,556.00",0.00,281,300,1/20/2020,6/25/2020,,003,NET 30 DAYS,7/25/2020
2020,April,TOPSHELF EMBROIDERY AND SCREEN PRINT,94606,         522,00502,130166,OP,1.000,43973,60-116-15-04-80,T-Shirt - Nine Logo Tech Tee - - MD - Black Aqua,3,3,0,7.0600,21.18,21.18,0.00,280,300,3/9/2020,4/1/2020,,,DUE UPON RECEIPT (DEFAULT),4/1/2020
2020,April,TOPSHELF EMBROIDERY AND SCREEN PRINT,94606,         522,00502,130166,OP,2.000,43973,60-116-20-04-70,T-Shirt - Nine Logo Tech Tee - - MD - Forest Green,3,3,0,7.0600,21.18,21.18,0.00,280,300,3/9/2020,4/1/2020,,,DUE UPON RECEIPT (DEFAULT),4/1/2020
2021,December,"WILLING INDUSTRY CO., LTD.",94611,         522,00502,129560,OP,1.000,44087,01-101-20-03-20,SIR 9 FRAME - SM - CEMENT/BLAC - K/COPPER,2,2,0,0.0000,0.00,0.00,0.00,280,300,6/5/2020,12/1/2021,,003,NET 30 DAYS,12/31/2021
2021,December,"WILLING INDUSTRY CO., LTD.",94612,         522,00502,129560,OP,1.000,44088,00-101-21-59-20,RLT 9 Steel Frameset - 59 - BL - ACK/BRONZE,2,2,0,0.0000,0.00,0.00,0.00,280,300,6/5/2020,12/1/2021,,003,NET 30 DAYS,12/31/2021
2021,April,TOPSHELF EMBROIDERY AND SCREEN PRINT,94613,         522,00502,130166,OP,1.000,44090,60-170-20-05-20,T-SHIRT - NINER RIDE THE LIGHT - NING e9 TEE - LG - Charcoal,1,1,0,9.1000,9.10,9.10,0.00,280,300,6/8/2020,4/30/2021,,,DUE UPON RECEIPT (DEFAULT),4/30/2021
2021,January,SHIMANO AMERICAN CORP.,94622,         522,00502,129970,OP,1.000,44212,17-280-20-34-00,SHIMANO - GRX800 - Ultegra - C - assette - KCSHG8001111134,30,30,0,38.7100,"1,161.30","1,161.30",0.00,280,300,8/17/2020,12/1/2020,,006,NET 60 DAYS,1/30/2021
2021,January,SHIMANO AMERICAN CORP.,94622,         522,00502,129970,OP,3.000,44212,33-287-20-17-20,SHIMANO - GRX800 - Ultegra - R - ear Brake - KRX8102DRRENX170,70,70,0,160.3900,"11,227.30","11,227.30",0.00,280,300,8/17/2020,12/1/2020,,006,NET 60 DAYS,1/30/2021
2021,January,SHIMANO AMERICAN CORP.,94623,         522,00502,129970,OP,1.000,44213,17-250-20-42-10,SHIMANO - Deore XT - 11 SP - C - assette - KCSM8000142,1,1,0,0.0000,0.00,0.00,0.00,280,300,8/17/2020,12/1/2020,,006,NET 60 DAYS,1/30/2021
2021,April,DT SWISS,94633,         522,00502,129814,OP,7.000,44234,10-179-21-15-00,DT SWISS XR 1700 FRONT WHEEL - - CL - 29,20,20,0,111.2000,"2,224.00","2,224.00",0.00,280,300,9/1/2020,3/2/2021,,003,NET 30 DAYS,4/1/2021
2021,April,DT SWISS,94633,         522,00502,129814,OP,18.000,44234,11-179-21-15-00,DT SWISS XR 1700 REAR WHEEL - - CL - 29,20,20,0,166.9000,"3,338.00","3,338.00",0.00,280,300,9/1/2020,3/2/2021,,003,NET 30 DAYS,4/1/2021
2021,March,SHIMANO AMERICAN CORP.,94657,         522,00502,129970,OP,2.000,44291,26-270-20-11-10,SHIMANO - R8000 - Ultegra - Fr - ont Derailleur - KFDR8000F,80,80,0,20.6400,"1,651.20","1,651.20",0.00,280,300,9/25/2020,1/4/2021,,006,NET 60 DAYS,3/5/2021
2021,March,SHIMANO AMERICAN CORP.,94657,         522,00502,129970,OP,4.000,44291,31-272-19-11-10,SHIMANO - HG601 CHAIN - 11SP - - ICNHG60111116Q,80,80,0,11.6700,933.60,933.60,0.00,280,300,9/25/2020,1/4/2021,,006,NET 60 DAYS,3/5/2021
2021,March,SHIMANO AMERICAN CORP.,94657,         522,00502,129970,OP,5.000,44291,33-202-18-16-20,SHIMANO - ROAD DISC BRAKE MOUN - T ADAPTER - 160MM,80,80,0,4.1300,330.40,330.40,0.00,280,300,9/25/2020,1/4/2021,,006,NET 60 DAYS,3/5/2021
2021,March,SHIMANO AMERICAN CORP.,94657,         522,00502,129970,OP,6.000,44291,33-268-20-60-10,SHIMANO - SM-RT800 - Rotor 160 - mm CL - KSMRT800SX,160,160,0,20.3400,"3,254.40","3,254.40",0.00,280,300,9/25/2020,1/4/2021,,006,NET 60 DAYS,3/5/2021
2021,February,SRAM,94671,         522,00502,130214,OP,1.000,44314,27-110-20-12-20,SRAM - X01 AXS ETAP - Rear Der - ailleur - 00.7518.118.000,12,12,0,252.8500,"3,034.20","3,034.20",0.00,280,300,10/15/2020,12/15/2020,,006,NET 60 DAYS,2/13/2021
2021,March,SRAM,94673,         522,00502,130214,OP,1.000,44320,27-110-20-12-20,SRAM - X01 AXS ETAP - Rear Der - ailleur - 00.7518.118.000,12,12,0,252.8500,"3,034.20","3,034.20",0.00,280,300,10/15/2020,1/4/2021,,006,NET 60 DAYS,3/5/2021
2021,April,SRAM,94675,         522,00502,130214,OP,1.000,44326,27-110-20-12-20,SRAM - X01 AXS ETAP - Rear Der - ailleur - 00.7518.118.000,12,12,0,252.8500,"3,034.20","3,034.20",0.00,280,300,10/15/2020,2/2/2021,,006,NET 60 DAYS,4/3/2021
2022,October,SRAM,94678,         522,00502,130214,OP,2.000,44330,31-112-17-12-10,SRAM - X01 EAGLE CHAIN - 12S - ,60,60,0,0.0000,0.00,0.00,0.00,280,300,10/15/2020,8/12/2022,,006,NET 60 DAYS,10/11/2022
2021,June,FOX FACTORY INC,94683,         522,00502,129937,OP,6.000,44339,06-751-21-15-20,FOX FLOAT 34 RHYTHM - 120MM - - BOOST - 44MM RAKE - 2022_2021,30,30,0,227.5000,"6,825.00","6,825.00",0.00,405,300,10/16/2020,5/3/2021,,003,NET 30 DAYS,6/2/2021
2021,June,FOX FACTORY INC,94683,         522,00502,129937,OP,8.000,44339,06-761-21-15-20,FOX FLOAT 34 RHYTHM - 130MM - - BOOST - 44MM RAKE - 2022_2021,90,90,0,227.5000,"20,475.00","20,475.00",0.00,280,300,10/16/2020,5/3/2021,,003,NET 30 DAYS,6/2/2021
2021,June,FOX FACTORY INC,94683,         522,00502,129937,OP,10.000,44339,06-801-21-15-50,FOX FLOAT 32 SC FACTORY - 100M - M - BOOST - 2022_2021 - ORANGE,30,30,0,336.5000,"10,095.00","10,095.00",0.00,280,300,10/16/2020,5/3/2021,,003,NET 30 DAYS,6/2/2021
2021,June,FOX FACTORY INC,94684,         522,00502,129937,OP,11.000,44340,06-801-21-15-20,FOX FLOAT 32 SC FACTORY - 100M - M - BOOST - 44MM RAKE - 2022_2,20,20,0,336.5000,"6,730.00","6,730.00",0.00,405,300,10/16/2020,5/3/2021,,003,NET 30 DAYS,6/2/2021
2021,June,VELO (OVERSEAS TECHNOLOGY LIMITED),94694,         522,00502,130000,OP,3.000,44350,23-115-18-00-20,Saddle - Niner Trail 2018 Ti R - ail - Black,220,220,0,12.0000,"2,640.00","2,640.00",0.00,280,300,10/20/2020,6/2/2021,,,DUE UPON RECEIPT (DEFAULT),6/2/2021
